,0
ACIAD_RS01435,3.98609603614997
ACIAD_RS09630,3.74888328125572
ACIAD_RS12505,2.53617357082317
ACIAD_RS11440,2.54818652033768
ACIAD_RS04005,2.46574048314936
ACIAD_RS01170,2.75483226698088
ACIAD_RS05430,2.74801546148449
ACIAD_RS13950,2.15597417514865
ACIAD_RS02420,2.87598054420775
ACIAD_RS12685,2.97194570061013
ACIAD_RS01430,2.41658610278711
ACIAD_RS12800,5.36176280484671
ACIAD_RS13760,3.64350022709156
ACIAD_RS04965,2.06970568415293
ACIAD_RS09535,2.52478764357805
ACIAD_RS09580,2.54251072593666
ACIAD_RS15860,2.11752122394956
ACIAD_RS03335,2.51340125141162
ACIAD_RS13835,2.88282171725421
ACIAD_RS11400,2.50255213626864
ACIAD_RS06580,2.67601343550571
ACIAD_RS04710,3.19208083489933
ACIAD_RS07815,2.57225035922207
ACIAD_RS05225,2.30053490998264
ACIAD_RS05770,3.98918625613272
ACIAD_RS02605,2.0830746024413
ACIAD_RS09105,2.00476668528473
ACIAD_RS02845,3.32733837299041
ACIAD_RS07365,4.71415135569005
ACIAD_RS10640,2.13954453139415
ACIAD_RS02555,2.87353059904327
ACIAD_RS03995,2.60569413542927
ACIAD_RS06755,2.13803781951352
ACIAD_RS09570,2.89595939377277
ACIAD_RS10970,3.65179848831857
ACIAD_RS10100,3.13575380576884
ACIAD_RS03320,2.23032711680642
ACIAD_RS12650,3.12394051922955
ACIAD_RS13435,2.40667658930807
ACIAD_RS10445,2.59558456396205
ACIAD_RS01300,2.16171638485555
ACIAD_RS14435,2.35733744407409
ACIAD_RS00130,3.21712880463099
ACIAD_RS12475,3.53118646422446
ACIAD_RS00530,2.65864404752361
ACIAD_RS16230,2.71850102853228
ACIAD_RS09235,3.8343257090428
ACIAD_RS10240,5.68049325978792
ACIAD_RS07385,2.90320031094856
ACIAD_RS13770,4.48245276747647
