"","LB0R1","LB0R2","LB0R3","LB1R1","LB1R2","LB1R3","M9LQR1","M9LQR2","M9LQR3","M9SFR1","M9SFR2","M9SFR3"
"ACIAD_RS14730",533.376118555573,412.479279920725,468.975374457517,587.56931526134,525.396785642056,506.777636004491,416.395685299766,397.077552396484,442.524812052908,280.487648959879,314.141005863252,288.7413539716
"ACIAD_RS14735",40.964623525428,42.6348446244336,37.7785718313,50.9626446910346,48.6478505224126,30.8697037160096,43.6958435191113,29.7132862337505,46.2339355876173,55.987210166033,52.201472784398,65.565722299228
"ACIAD_RS14740",585.208907506115,527.541993124016,653.960105493538,634.035256009048,609.42489108986,612.249123700858,77.1103120925493,70.2314038252285,85.8630232341464,77.7753362897601,75.5057017060042,81.957152874035
"ACIAD_RS14745",56.848865300594,57.0176837748449,44.2921186987655,32.9758289177283,81.3745863283993,63.4543909717976,35.9848123098563,32.4144940731824,29.7218157348968,45.5068457014554,42.8797812157555,59.0091500693052
"ACIAD_RS14750",234.083563002446,176.703452419339,188.8928591565,232.32970373854,218.473074164289,157.778485659605,97.6730619838958,97.2434822195471,99.0727191163228,93.2200839217691,100.674268941339,102.383397128794
"ACIAD_RS14755",79.4212088758299,70.3731772716554,76.8598530360931,122.90990778426,107.025271149308,75.4592757502458,51.4068747283662,54.0241567886373,66.0484794108819,60.9515933334644,64.3196718236332,61.2787327642785
"ACIAD_RS14760",111.189692426162,121.740459951696,96.4004936384897,77.9428683509941,96.4111946716905,95.1815864576964,244.182654959739,191.785756599662,221.262406026454,102.873051191775,103.470776411932,98.096407593845
"ACIAD_RS14765",128.745959651345,110.953330588887,123.757390481845,119.912105155375,110.563296641847,128.623765483373,100.243405720314,89.1398587012515,75.9557513225141,123.83378012093,121.181990392352,101.374693708806
"ACIAD_RS14770",42.6366489754455,43.6621902780344,58.6219218071897,70.4483617787831,41.5717995373344,51.4495061933494,110.524780665987,135.060391971593,118.887262939587,48.2648363500284,36.3545971177057,54.7221605343557
"ACIAD_RS14775",458.134973304787,385.254620100303,437.710349493683,593.564920519109,427.216578224096,437.32080264347,619.452840476813,480.814995418872,439.222388082364,250.977149020148,263.803871392583,236.036600277221
