gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
N/A,ACIAD1766,lcl|CR543861.1_cds_CAG68605.1_1618,4.60377,5.25114,4.74246,8.13513,5.65516,2.20304,9.44547,3.66923,8.37993,9.52153,7.86443,8.80199
N/A,ACIAD1767,lcl|CR543861.1_cds_CAG68606.1_1619,6.02575,11.4784,14.4186,3.61983,3.86474,10.8566,5.12712,0.0,3.90616,11.0283,10.2916,10.1359
N/A,ACIAD1768,lcl|CR543861.1_cds_CAG68607.1_1620,4.11792,6.54936,0.0,11.5139,10.5893,12.9089,5.23263,2.03353,7.98695,7.39123,16.4077,11.5815
N/A,ACIAD1769,lcl|CR543861.1_cds_CAG68608.1_1621,8.94876,12.2205,7.53759,16.3018,13.1776,13.6105,12.9444,17.6099,36.2793,64.0454,37.8329,61.8407
N/A,ACIAD1770,lcl|CR543861.1_cds_CAG68609.1_1622,12.7328,67.6979,106.486,19.1145,55.2436,24.6097,143.119,118.193,127.587,135.94,50.8,93.6329
N/A,ACIAD1771,lcl|CR543861.1_cds_CAG68610.1_1623,12.5989,18.837,0.0,13.0677,22.2416,37.4774,75.3116,87.9496,148.825,64.7076,51.7341,75.3608
N/A,ACIAD1772,lcl|CR543861.1_cds_CAG68611.1_1624,69.4482,82.8474,77.8007,75.4953,62.2928,68.0937,504.563,555.881,440.277,458.08,763.965,498.686
N/A,ACIAD1773,lcl|CR543861.1_cds_CAG68612.1_1625,24.7229,28.2302,27.2959,27.7589,16.4719,35.5686,9.48666,14.7426,8.02372,52.51,51.3784,60.004
otsA,ACIAD1774,lcl|CR543861.1_cds_CAG68613.1_1626,13.4103,12.5833,7.89513,7.74967,12.0879,5.65302,17.404,21.3513,19.5135,54.6214,68.4158,54.4511
otsB,ACIAD1775,lcl|CR543861.1_cds_CAG68614.1_1627,0.976425,2.48381,1.43848,0.0,4.01562,2.82339,16.5572,13.512,10.1056,9.00624,8.89293,16.1763
N/A,ACIAD1776,lcl|CR543861.1_cds_CAG68615.1_1628,24.3037,28.3052,29.3692,31.3939,25.2439,23.7827,73.5061,51.4386,39.5537,44.4866,90.3678,87.7621
fecI,ACIAD1778,lcl|CR543861.1_cds_CAG68616.1_1629,21.2706,25.8702,15.7053,6.72286,15.4546,12.479,7.08526,24.7877,32.6658,211.782,181.279,198.828
fecR,ACIAD1779,lcl|CR543861.1_cds_CAG68617.1_1630,7.90512,15.6296,3.88116,5.62153,4.51156,12.6818,4.4752,6.95594,15.9235,35.0564,27.0006,36.2598
N/A,ACIAD1780,lcl|CR543861.1_cds_CAG68618.1_1631,12.4198,13.8506,13.0505,7.13671,9.67295,7.90655,7.09693,10.0418,9.24205,21.2043,13.1353,19.1093
N/A,ACIAD1781,lcl|CR543861.1_cds_CAG68619.1_1632,17.824,26.6842,20.0831,18.4237,30.202,24.2778,17.7585,26.9158,40.664,160.992,182.618,168.391
ppk,ACIAD1782,lcl|CR543861.1_cds_CAG68620.1_1633,13.8795,22.7606,13.6138,8.58404,16.015,14.9652,13.4088,20.597,14.8217,20.4814,24.7246,27.12
N/A,ACIAD1783,lcl|CR543861.1_cds_CAG68621.1_1634,34.0611,53.2958,38.8134,31.7438,39.9579,38.9553,5.62765,10.9314,11.4186,22.0077,19.3939,22.8904
N/A,ACIAD1784,lcl|CR543861.1_cds_CAG68622.1_1635,69.6472,43.1357,48.0042,21.9704,50.695,68.2492,30.8447,35.9696,35.5934,125.087,139.734,136.072
N/A,ACIAD1786,lcl|CR543861.1_cds_CAG68623.1_1636,1669.3,1755.57,868.828,546.706,1884.66,868.734,0.0,33.7689,0.0,106.026,198.637,122.96
csp,ACIAD1787,lcl|CR543861.1_cds_CAG68624.1_1637,2438.29,2526.48,1780.38,1228.18,2679.84,3068.35,1022.85,690.792,925.646,1030.37,877.213,1310.69
N/A,ACIAD1788,lcl|CR543861.1_cds_CAG68625.1_1638,131.327,114.859,115.777,215.792,126.888,110.281,41.8653,28.5842,45.9477,88.5642,116.321,101.103
N/A,ACIAD1789,lcl|CR543861.1_cds_CAG68626.1_1639,26.3075,43.5984,25.2077,8.38373,40.6893,38.213,2.21851,0.0,0.0,37.9347,29.9433,46.3791
